ld;2;2022 09 05 22 30;FA;P1;9.00;7.00;12.00;0.00;2.00;6.00;11.00;4.00;P2;4.00;9.00;2.00;7.00;11.00;12.00;6.00;0.00
ld;2;2022 09 05 22 30;FA;P1;12.00;9.00;2.00;7.00;6.00;11.00;0.00;4.00;P2;9.00;12.00;2.00;4.00;0.00;11.00;6.00;7.00
ld;2;2022 09 05 22 30;FA;P1;9.00;6.00;7.00;0.00;12.00;2.00;11.00;4.00;P2;0.00;7.00;4.00;12.00;2.00;11.00;9.00;6.00
ld;2;2022 09 06 11 25
ld;2;2022 09 06 11 25;FA;P1;4.00;12.00;9.00;0.00;11.00;7.00;2.00;6.00;P2;4.00;11.00;6.00;12.00;9.00;2.00;7.00;0.00
ld;2;2022 09 06 11 25;OM;P1;6.00;7.00;9.00;11.00;2.00;12.00;0.00;4.00;P2;12.00;7.00;6.00;4.00;9.00;1.00;0.00;11.00
ld;2;2022 09 06 11 25;OM;P1;7.00;0.00;11.00;4.00;9.00;12.00;2.00;6.00;P2;1.00;7.00;0.00;6.00;11.00;9.00;4.00;12.00
ld;2;2022 09 06 11 25;OM;P1;0.00;9.00;2.00;11.00;12.00;7.00;4.00;6.00;P2;12.00;5.00;4.00;7.00;11.00;2.00;9.00;0.00
ld;2;2022 09 06 11 25;FA;P1;9.00;2.00;4.00;12.00;11.00;6.00;0.00;7.00;P2;9.00;12.00;4.00;6.00;7.00;11.00;0.00;2.00
ld;2;2022 09 06 11 25;OM;P1;2.00;0.00;7.00;9.00;11.00;6.00;12.00;4.00;P2;10.00;7.00;4.00;11.00;2.00;6.00;12.00;0.00
ld;2;2022 09 06 11 25;FA;P1;9.00;2.00;0.00;6.00;7.00;11.00;4.00;12.00;P2;2.00;9.00;0.00;12.00;11.00;7.00;6.00;4.00
ld;2;2022 09 06 11 25;OM;P1;9.00;12.00;0.00;6.00;7.00;2.00;11.00;4.00;P2;0.00;7.00;9.00;11.00;5.00;12.00;2.00;4.00
ld;2;2022 09 06 11 25;OM;P1;0.00;9.00;4.00;12.00;2.00;11.00;6.00;7.00;P2;2.00;5.00;9.00;12.00;7.00;0.00;4.00;11.00
ld;2;2022 09 06 11 25;OM;P1;2.00;9.00;4.00;0.00;7.00;6.00;11.00;12.00;P2;11.00;12.00;10.00;4.00;2.00;0.00;7.00;6.00
ld;2;2022 09 06 11 29
ld;2;2022 09 06 11 29;OM;P1;7.00;2.00;12.00;11.00;6.00;0.00;9.00;4.00;P2;2.00;6.00;10.00;12.00;7.00;4.00;11.00;0.00
ld;2;2022 09 06 11 29;OM;P1;7.00;2.00;11.00;4.00;12.00;0.00;9.00;6.00;P2;7.00;0.00;4.00;6.00;10.00;2.00;11.00;12.00
ld;2;2022 09 06 11 29;FA;P1;11.00;6.00;12.00;0.00;7.00;2.00;9.00;4.00;P2;6.00;0.00;4.00;12.00;11.00;2.00;9.00;7.00
